2022-09-07 16:14:57.161 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logbackDemoApplication': Initialization of bean failed; nested exception is java.lang.IllegalStateException: Encountered invalid @Scheduled method 'log': For input string: "" '/2' in cron expression "/2 * * * * ?"
2022-09-07 16:18:16.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:18:18.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:18:20.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:34.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:36.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:38.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:40.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:42.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:44.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:46.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:48.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:50.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:52.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:54.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:20:56.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:26:20.008 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:26:22.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:26:24.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:26:26.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
